id,name,extracted_category,product_text,cluster
AVqVGWQDv8e3D1O-ldFr,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",Electronics iPad & Tablets Tablets & eBook Readers,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black Electronics iPad & Tablets Tablets & eBook Readers",3
AVqVGZO3nnc1JgDc3jGK,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",Computers & Tablets E-Readers & Accessories E-Readers,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,, Computers & Tablets E-Readers & Accessories E-Readers",3
AVqVGZQBQMlgsOJE6eUb,"Kindle Oasis E-reader with Leather Charging Cover - Walnut, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon Ereaders Kindle E-readers E-Readers,"Kindle Oasis E-reader with Leather Charging Cover - Walnut, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers Amazon Ereaders Kindle E-readers E-Readers",3
AVqVGZSEQMlgsOJE6eUc,"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",All Tablets Amazon Book Reader Computers & Tablets,"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers All Tablets Amazon Book Reader Computers & Tablets",3
AVqkIdntQMlgsOJE6fuB,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",Computers & Tablets Tablets eBook Readers,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black Computers & Tablets Tablets eBook Readers",3
AVqkIh8WQMlgsOJE6fu-,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",Amazon Tablets Computers & Tablets Other Computers & Networking,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black Amazon Tablets Computers & Tablets Other Computers & Networking",3
AVqkIh9HQMlgsOJE6fu_,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",All Tablets Amazon Tablets Computers & Tablets,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue All Tablets Amazon Tablets Computers & Tablets",3
AVqkIhkhv8e3D1O-lebZ,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",Tablets All Tablets Amazon Tablets,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue Tablets All Tablets Amazon Tablets",3
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Fire Tablets Tablets Computers & Tablets,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta Fire Tablets Tablets Computers & Tablets",3
AVqkIiKWnnc1JgDc3khH,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",Hard Drives & Storage Computers & Tablets All Tablets,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta Hard Drives & Storage Computers & Tablets All Tablets",3
AVwjfXp4QMlgsOJE8qmk,"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case",Office Electronics Amazon Tablets & eBook Readers,"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case Office Electronics Amazon Tablets & eBook Readers",3
AVwjfXqqQMlgsOJE8qmm,"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Pink Kid-Proof Case",Amazon Tablets Computers & Tablets Kids' Tablets,"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Pink Kid-Proof Case Amazon Tablets Computers & Tablets Kids' Tablets",3
AVzRlorb-jtxr-f3ygvQ,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",Power Adapters & Cables Amazon Device Accessories Power Adapters,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black Power Adapters & Cables Amazon Device Accessories Power Adapters",3
AVzYlGj3vKc47QAVeZRH,"Amazon Fire HD 8 with Alexa (8"" HD Display Tablet)",Amazon Tablets & eBook Readers Tablets & E-Readers,"Amazon Fire HD 8 with Alexa (8"" HD Display Tablet) Amazon Tablets & eBook Readers Tablets & E-Readers",3
AVzvXXxbvKc47QAVfRhy,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",Categories Fire TV Kindle Store,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black Categories Fire TV Kindle Store",3
AWP6zKOtIwln0LfXnf2p,"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 32 GB, Wi-Fi - Includes Special Offers",Amazon Ereaders Kindle E-readers E-Readers,"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 32 GB, Wi-Fi - Includes Special Offers Amazon Ereaders Kindle E-readers E-Readers",3
